column,mode,covered,total,coverage_pct
overview,nonempty,0,6720,0.0
tagline,nonempty,0,6720,0.0
director,nonempty,0,6720,0.0
cast,nonempty,0,6720,0.0
poster_url,nonempty,0,6720,0.0
budget,>0,0,6720,0.0
revenue,>0,0,6720,0.0
tmdbId,nonempty,0,6720,0.0
imdbId,nonempty,0,6720,0.0
genres,nonempty,6720,6720,100.0
year,nonempty,5933,6720,88.2887
release_date,nonempty,0,6720,0.0
runtime,>0,0,6720,0.0
original_language,nonempty,0,6720,0.0
production_countries,nonempty,0,6720,0.0
keywords,nonempty,0,6720,0.0
tag_genome_tags,nonempty,0,6720,0.0
vote_average,>0,0,6720,0.0
vote_count,>0,0,6720,0.0
popularity,>0,0,6720,0.0
collection_name,nonempty,0,6720,0.0
certification,nonempty,0,6720,0.0
