column,mode,covered,total,coverage_pct
overview,nonempty,9620,9742,98.7477
tagline,nonempty,8376,9742,85.9782
director,nonempty,9617,9742,98.7169
cast,nonempty,9591,9742,98.45
poster_url,nonempty,9617,9742,98.7169
budget,>0,6359,9742,65.2741
revenue,>0,6934,9742,71.1763
tmdbId,nonempty,9734,9742,99.9179
imdbId,nonempty,9742,9742,100.0
genres,nonempty,9742,9742,100.0
year,nonempty,9730,9742,99.8768
release_date,nonempty,0,9742,0.0
runtime,>0,0,9742,0.0
original_language,nonempty,0,9742,0.0
production_countries,nonempty,0,9742,0.0
keywords,nonempty,0,9742,0.0
tag_genome_tags,nonempty,0,9742,0.0
vote_average,>0,0,9742,0.0
vote_count,>0,0,9742,0.0
popularity,>0,0,9742,0.0
collection_name,nonempty,0,9742,0.0
certification,nonempty,0,9742,0.0
