dataset,protocol,model,model_family,source,tuned_weights,precision@10,recall@10,ndcg@10,mrr@10,precision@20,recall@20,ndcg@20,mrr@20,rmse,mae,best_epoch,artifact_dir,command,seed,warm_precision@10,warm_recall@10,warm_ndcg@10,warm_mrr@10,cold_precision@10,cold_recall@10,cold_ndcg@10,cold_mrr@10,warm_interactions,cold_interactions
letterboxd-full,per_user_temporal_80_10_10_pos4_full,hybrid-recbolelightgcn-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.5, ""content"": 0.3181818181818181, ""popularity"": 0.18181818181818182}",0.0091954022988505,0.033970078452837,0.0259301644663552,0.0383287721218755,,,,,1.740047574043274,,,artifacts/recommender/letterboxd-full/hybrid-recbolelightgcn-tfidf,,42,0.0094527363184079,0.0363420990286661,0.0283605364727495,0.040497907288952,0.001010101010101,0.0101010101010101,0.0038586358151854,0.0019841269841269,2657.0,745.0
letterboxd-full,per_user_temporal_80_10_10_pos4_full,svd-pytorch,svd,pytorch_svd,"{""collaborative"": 0.55, ""content"": 0.35, ""popularity"": 0.1}",0.0094252873563218,0.0336955764541971,0.0241336142540794,0.0334473636197774,,,,,0.7890205979347229,0.6130781173706055,2.0,artifacts/recommender/letterboxd-full/svd,,42,0.0101990049751243,0.0437218668561952,0.0287235190643689,0.0361930427228934,0.0,0.0,0.0,0.0,2657.0,745.0
letterboxd-full,per_user_temporal_80_10_10_pos4_full,hybrid-lightgcn-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.5, ""content"": 0.3666666666666667, ""popularity"": 0.13333333333333333}",0.0078160919540229,0.0334884145228972,0.0239120569575492,0.0321127531472359,,,,,1.5272088050842283,,,artifacts/recommender/letterboxd-full/hybrid-lightgcn-tfidf,,42,0.0079601990049751,0.0346600331674958,0.0257600543391358,0.0342237226565584,0.001010101010101,0.0101010101010101,0.0029802768786963,0.0010662177328843,2657.0,745.0
letterboxd-full,per_user_temporal_80_10_10_pos4_full,lightgcn-pytorch,lightgcn,pytorch_lightgcn,"{""collaborative"": 0.55, ""content"": 0.35, ""popularity"": 0.1}",0.0103448275862068,0.0287675606641123,0.0231941581394432,0.0370872103630724,,,,,,,43.0,artifacts/recommender/letterboxd-full/lightgcn,,42,0.0111940298507462,0.0345386164416015,0.0270398393647522,0.0401316828555634,0.0,0.0,0.0,0.0,2657.0,745.0
letterboxd-full,per_user_temporal_80_10_10_pos4_full,recbole-LightGCN,lightgcn,recbole,{},0.0108,0.031,0.0221,0.0329,0.0087,0.0467,0.0283,0.0358,,,,artifacts/recommender/letterboxd-full/recbole-lightgcn,"scripts/benchmark_recbole.py --data-dir data/letterboxd-full --dataset-name letterboxd-full --models Pop,ItemKNN,BPR,LightGCN --top-k 10 20",42,,,,,,,,,,
letterboxd-full,per_user_temporal_80_10_10_pos4_full,hybrid-svd-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.39999999999999997, ""content"": 0.3333333333333333, ""popularity"": 0.26666666666666666}",0.0073563218390804,0.0390212469522814,0.021911231376887,0.0197974822112753,,,,,0.7832956314086914,,,artifacts/recommender/letterboxd-full/hybrid-svd-tfidf,,42,0.0079601990049751,0.047139303482587,0.0251931891397145,0.0214226486614546,0.0,0.0,0.0,0.0,2657.0,745.0
letterboxd-full,per_user_temporal_80_10_10_pos4_full,hybrid-pytorch-svd-tfidf,hybrid,runtime_fit,"{""collaborative"": 0.55, ""content"": 0.35, ""popularity"": 0.1}",0.0073563218390804,0.0409752699407871,0.0217154093798782,0.017436599160737,,,,,0.7831368446350098,,,artifacts/recommender/letterboxd-full/baseline,,42,0.0079601990049751,0.0505212035062781,0.0252914803884536,0.0188679617784095,0.0,0.0,0.0,0.0,2657.0,745.0
letterboxd-full,per_user_temporal_80_10_10_pos4_full,hybrid-bpr-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.6842105263157895, ""content"": 0.2631578947368421, ""popularity"": 0.05263157894736842}",0.0085057471264367,0.0281372012406495,0.0215931035795729,0.0313601532567049,,,,,1.8431804180145264,,,artifacts/recommender/letterboxd-full/hybrid-bpr-tfidf,,42,0.0092039800995024,0.0345356550580431,0.0250693694242925,0.0339344941956882,0.0,0.0,0.0,0.0,2657.0,745.0
letterboxd-full,per_user_temporal_80_10_10_pos4_full,content-tfidf,content,content_baseline,{},0.0045977011494252,0.0327586206896551,0.0196643009831955,0.0169795657726692,,,,,,,,artifacts/recommender/letterboxd-full/content,scripts/train_content_baseline.py --data-dir data/letterboxd-full,42,0.0039800995024875,0.0317164179104477,0.0187771710237489,0.016300442233278,0.002020202020202,0.0151515151515151,0.0072322971469803,0.0042087542087542,2657.0,745.0
letterboxd-full,per_user_temporal_80_10_10_pos4_full,hybrid-twotower-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.5, ""content"": 0.25, ""popularity"": 0.25}",0.0071264367816091,0.0280715197956577,0.0184582937790985,0.0212151067323481,,,,,1.6981083154678345,,,artifacts/recommender/letterboxd-full/hybrid-twotower-tfidf,,42,0.0077114427860696,0.0329009713338071,0.0214031530783295,0.022956645344705,0.0,0.0,0.0,0.0,2657.0,745.0
letterboxd-full,per_user_temporal_80_10_10_pos4_full,recbole-BPR,bpr,recbole,{},0.0087,0.0262,0.0184,0.0243,0.0079,0.0476,0.0258,0.0277,,,,artifacts/recommender/letterboxd-full/recbole-bpr,"scripts/benchmark_recbole.py --data-dir data/letterboxd-full --dataset-name letterboxd-full --models Pop,ItemKNN,BPR,LightGCN --top-k 10 20",42,,,,,,,,,,
letterboxd-full,per_user_temporal_80_10_10_pos4_full,recbole-ItemKNN,itemknn,recbole,{},0.0067,0.023,0.0143,0.0212,0.0059,0.0346,0.0189,0.0233,,,,,"scripts/benchmark_recbole.py --data-dir data/letterboxd-full --dataset-name letterboxd-full --models Pop,ItemKNN,BPR,LightGCN --top-k 10 20",42,,,,,,,,,,
letterboxd-full,per_user_temporal_80_10_10_pos4_full,recbole-Pop,pop,recbole,{},0.0071,0.0207,0.0124,0.017,0.0067,0.0381,0.0187,0.0198,,,,,"scripts/benchmark_recbole.py --data-dir data/letterboxd-full --dataset-name letterboxd-full --models Pop,ItemKNN,BPR,LightGCN --top-k 10 20",42,,,,,,,,,,
