raw_movie_id,canonical_key,title,raw_movie_url,movieId
movie_faea31f9c72b,title:much-ado-about-nothing:,Much Ado About Nothing,,5560
movie_b1a50336519a,slug:much-ado-about-nothing,Much Ado About Nothing (1993),https://letterboxd.com/film/much-ado-about-nothing/,1882
movie_a25a96b3992b,slug:the-rainmaker-1997,The Rainmaker (1997),https://letterboxd.com/film/the-rainmaker-1997/,3212
movie_e496b3076ad0,slug:i-love-you-phillip-morris,I Love You Phillip Morris (2009),https://letterboxd.com/film/i-love-you-phillip-morris/,1309
movie_871fea660f35,title:devil-wears-prada-2:,The Devil Wears Prada 2,,4405
movie_5d698159a979,slug:the-devil-wears-prada-2,The Devil Wears Prada 2 (2026),https://letterboxd.com/film/the-devil-wears-prada-2/,2863
movie_013fc9446ecf,slug:michael-2026,Michael (2026),https://letterboxd.com/film/michael-2026/,1789
movie_ee3c31396b08,slug:the-drama,The Drama (2026),https://letterboxd.com/film/the-drama/,2871
movie_abe81071e651,slug:scream-7,Scream 7 (2026),https://letterboxd.com/film/scream-7/,2408
movie_a66d3f7ee581,slug:how-to-make-a-killing-2026,How to Make a Killing (2026),https://letterboxd.com/film/how-to-make-a-killing-2026/,1273
movie_e18af3485a4f,slug:wuthering-heights-2026,Wuthering Heights (2026),https://letterboxd.com/film/wuthering-heights-2026/,3667
movie_974d12c07a61,slug:the-rip-2026,The Rip (2026),https://letterboxd.com/film/the-rip-2026/,3224
movie_23a2cb71790b,slug:stranger-things-5-the-finale,Stranger Things 5: The Finale (2025),https://letterboxd.com/film/stranger-things-5-the-finale/,2622
movie_378b57d0114c,slug:anaconda-2025,Anaconda (2025),https://letterboxd.com/film/anaconda-2025/,210
movie_3ff0917b59a7,slug:five-nights-at-freddys-2,Five Nights at Freddy's 2 (2025),https://letterboxd.com/film/five-nights-at-freddys-2/,997
movie_f80612874d62,slug:the-housemaid-2025,The Housemaid (2025),https://letterboxd.com/film/the-housemaid-2025/,2994
movie_34436252f567,slug:wicked-for-good,Wicked: For Good (2025),https://letterboxd.com/film/wicked-for-good/,3634
movie_8fbe56e42ae3,slug:the-running-man-2025,The Running Man (2025),https://letterboxd.com/film/the-running-man-2025/,3239
movie_8907cd2784a3,slug:is-this-thing-on-2025,Is This Thing On? (2025),https://letterboxd.com/film/is-this-thing-on-2025/,1387
movie_81f7ba5c4398,slug:marty-supreme,Marty Supreme (2025),https://letterboxd.com/film/marty-supreme/,1733
movie_c844a814c20f,slug:one-battle-after-another,One Battle After Another (2025),https://letterboxd.com/film/one-battle-after-another/,2027
movie_f919c61663a7,slug:roofman,Roofman (2025),https://letterboxd.com/film/roofman/,2344
movie_dc8c05f5e47e,slug:wake-up-dead-man,Wake Up Dead Man (2025),https://letterboxd.com/film/wake-up-dead-man/,3561
movie_f0de40f18a9a,slug:dead-mans-wire,Dead Man's Wire (2025),https://letterboxd.com/film/dead-mans-wire/,724
movie_78f4ddce6e3e,slug:the-conjuring-last-rites,The Conjuring: Last Rites (2025),https://letterboxd.com/film/the-conjuring-last-rites/,2830
movie_5f576f18fba5,slug:the-smashing-machine-2025,The Smashing Machine (2025),https://letterboxd.com/film/the-smashing-machine-2025/,3266
movie_ef5e696ae77f,slug:frankenstein-2025,Frankenstein (2025),https://letterboxd.com/film/frankenstein-2025/,1028
movie_20df769f6663,slug:springsteen-deliver-me-from-nowhere,Springsteen: Deliver Me from Nowhere (2025),https://letterboxd.com/film/springsteen-deliver-me-from-nowhere/,2575
movie_631846150059,slug:after-the-hunt-2025,After the Hunt (2025),https://letterboxd.com/film/after-the-hunt-2025/,141
movie_b99571974530,slug:hamnet,Hamnet (2025),https://letterboxd.com/film/hamnet/,1161
movie_c5cbcc8d458e,slug:jay-kelly,Jay Kelly (2025),https://letterboxd.com/film/jay-kelly/,1419
movie_b5ed9c1fb50f,slug:bugonia,Bugonia (2025),https://letterboxd.com/film/bugonia/,510
