movieId,title,genres,year
1,10 Cloverfield Lane (2016),(no genres listed),2016
2,10 Things I Hate About You (1999),(no genres listed),1999
3,100 Liters of Gold (2024),(no genres listed),2024
4,100 METERS (2025),(no genres listed),2025
5,10DANCE (2025),(no genres listed),2025
6,11.22.63 (2016),(no genres listed),2016
7,12 Angry Men (1957),(no genres listed),1957
8,12 Years a Slave (2013),(no genres listed),2013
9,120 Bahadur (2025),(no genres listed),2025
10,"13 Days, 13 Nights (2025)",(no genres listed),2025
11,13: Game of Death (2006),(no genres listed),2006
12,13 Going on 30 (2004),(no genres listed),2004
13,1408 (2007),(no genres listed),2007
14,180 (2026),(no genres listed),2026
15,18th Rose (2026),(no genres listed),2026
16,18x2 Beyond Youthful Days (2024),(no genres listed),2024
17,1917 (2019),(no genres listed),2019
18,1922 (2017),(no genres listed),2017
19,1987: When the Day Comes (2017),(no genres listed),2017
20,1UP (2022),(no genres listed),2022
21,2 Fast 2 Furious (2003),(no genres listed),2003
22,2001: A Space Odyssey (1968),(no genres listed),1968
23,2012 (2009),(no genres listed),2009
24,2046 (2004),(no genres listed),2004
25,20th Century Girl (2022),(no genres listed),2022
26,21 (2008),(no genres listed),2008
27,21 Jump Street (2012),(no genres listed),2012
28,21 & Over (2013),(no genres listed),2013
29,22 Jump Street (2014),(no genres listed),2014
30,27 Dresses (2008),(no genres listed),2008
31,28 Days Later (2002),(no genres listed),2002
32,28 Weeks Later (2007),(no genres listed),2007
33,28 Years Later (2025),(no genres listed),2025
34,28 Years Later: The Bone Temple (2026),(no genres listed),2026
35,2Kawaii4Comfort (2017),(no genres listed),2017
36,3 Idiots (2009),(no genres listed),2009
37,300 (2006),(no genres listed),2006
38,3096 Days (2013),(no genres listed),2013
39,31 (2016),(no genres listed),2016
40,3:10 to Yuma (2007),(no genres listed),2007
41,32nd of December (1988),(no genres listed),1988
42,365 Days (2020),(no genres listed),2020
43,365 Days: This Day (2022),(no genres listed),2022
44,5 Centimeters per Second (2007),(no genres listed),2007
45,5 Reasons Why (2018),(no genres listed),2018
46,50 First Dates (2004),(no genres listed),2004
47,(500) Days of Summer (2009),(no genres listed),2009
48,5lbs of Pressure (2024),(no genres listed),2024
49,6 Underground (2019),(no genres listed),2019
50,7 Prisoners (2021),(no genres listed),2021
51,8½ (1963),(no genres listed),1963
52,8 Mile (2002),(no genres listed),2002
53,8 Things (2022),(no genres listed),2022
54,86 EIGHTY-SIX (2021),(no genres listed),2021
55,A Bad Moms Christmas (2017),(no genres listed),2017
56,A Better Tomorrow (2018),(no genres listed),2018
57,A Big Bold Beautiful Journey (2025),(no genres listed),2025
58,A Breeze of Love (2023),(no genres listed),2023
59,A Bronx Tale (1993),(no genres listed),1993
60,A Christmas Prince (2017),(no genres listed),2017
61,A Christmas Prince: The Royal Baby (2019),(no genres listed),2019
62,A Christmas Prince: The Royal Wedding (2018),(no genres listed),2018
63,A Cinderella Story (2004),(no genres listed),2004
64,A Clockwork Orange (1971),(no genres listed),1971
65,A Coffee in Berlin (2012),(no genres listed),2012
66,A Complete Unknown (2024),(no genres listed),2024
67,A Cure for Wellness (2016),(no genres listed),2016
68,A Dangerous Method (2011),(no genres listed),2011
69,A Different Man (2024),(no genres listed),2024
70,A Family Affair (2024),(no genres listed),2024
71,A Few Good Men (1992),(no genres listed),1992
72,A Fistful of Dollars (1964),(no genres listed),1964
73,A Ghost Story (2017),(no genres listed),2017
74,A Girl at My Door (2014),(no genres listed),2014
75,A Girl Walks Home Alone at Night (2014),(no genres listed),2014
76,A Good Marriage (2014),(no genres listed),2014
77,A Hard Day's Night (1964),(no genres listed),1964
78,A Haunting in Venice (2023),(no genres listed),2023
79,A History of Violence (2005),(no genres listed),2005
80,A House of Dynamite (2025),(no genres listed),2025
81,A Killer Paradox (2024),(no genres listed),2024
82,A Legend (2024),(no genres listed),2024
83,A Little Something Extra (2024),(no genres listed),2024
84,A Little Thing Called Love (2010),(no genres listed),2010
85,A Man Called Otto (2022),(no genres listed),2022
86,A Man Called Ove (2015),(no genres listed),2015
87,A Minecraft Movie (2025),(no genres listed),2025
88,A Moment to Remember (2004),(no genres listed),2004
89,A Monster Calls (2016),(no genres listed),2016
90,A Most Violent Year (2014),(no genres listed),2014
91,A Murder at the End of the World (2023),(no genres listed),2023
92,A Nice Indian Boy (2024),(no genres listed),2024
93,A Night in Four Parts (2022),(no genres listed),2022
94,A Parks and Recreation Special (2020),(no genres listed),2020
95,A Perfect World (1993),(no genres listed),1993
96,A Place to Fight For (2023),(no genres listed),2023
97,A Prophet (2009),(no genres listed),2009
98,A Quiet Place (2018),(no genres listed),2018
99,A Quiet Place: Day One (2024),(no genres listed),2024
100,A Quiet Place Part II (2020),(no genres listed),2020
101,A Rainy Day in New York (2019),(no genres listed),2019
102,A Real Pain (2024),(no genres listed),2024
103,A Russian Youth (2019),(no genres listed),2019
104,A Separation (2011),(no genres listed),2011
105,A Serbian Film (2010),(no genres listed),2010
106,A Silent Voice: The Movie (2016),(no genres listed),2016
107,A Splendid Dance (2001),(no genres listed),2001
108,A Star Is Born (2018),(no genres listed),2018
109,A Streetcar Named Desire (1951),(no genres listed),1951
110,A Summer's Tale (1996),(no genres listed),1996
111,A Sun (2019),(no genres listed),2019
112,A Taxi Driver (2017),(no genres listed),2017
113,A Traveler's Needs (2024),(no genres listed),2024
114,A Very Good Girl (2023),(no genres listed),2023
115,A Very Murray Christmas (2015),(no genres listed),2015
116,A Walk to Remember (2002),(no genres listed),2002
117,A Whisker Away (2020),(no genres listed),2020
118,A Working Man (2025),(no genres listed),2025
119,A Wrinkle in Time (2018),(no genres listed),2018
120,Abducted in Plain Sight (2017),(no genres listed),2017
121,Abigail (2024),(no genres listed),2024
122,Abominable (2019),(no genres listed),2019
123,About Dry Grasses (2023),(no genres listed),2023
124,About Elly (2009),(no genres listed),2009
125,About Time (2013),(no genres listed),2013
126,Accused (2026),(no genres listed),2026
127,Across the Universe (2007),(no genres listed),2007
128,Ad Astra (2019),(no genres listed),2019
129,Adaptation. (2002),(no genres listed),2002
130,Adolescence (2025),(no genres listed),2025
131,Adventure Time: Diamonds and Lemons (2018),(no genres listed),2018
132,Adventure Time: Elements (2017),(no genres listed),2017
133,Adventure Time: Fionna and Cake (2023),(no genres listed),2023
134,Adventure Time: Islands (2017),(no genres listed),2017
