movie_id,title,year,movie_url,created_at
movie_8907cd2784a3,Is This Thing On? (2025),,https://letterboxd.com/film/is-this-thing-on-2025/,2026-05-25T11:31:02+00:00
movie_f0de40f18a9a,Dead Man's Wire (2025),,https://letterboxd.com/film/dead-mans-wire/,2026-05-25T11:31:02+00:00
movie_5f576f18fba5,The Smashing Machine (2025),,https://letterboxd.com/film/the-smashing-machine-2025/,2026-05-25T11:31:02+00:00
movie_20df769f6663,Springsteen: Deliver Me from Nowhere (2025),,https://letterboxd.com/film/springsteen-deliver-me-from-nowhere/,2026-05-25T11:31:02+00:00
movie_c5cbcc8d458e,Jay Kelly (2025),,https://letterboxd.com/film/jay-kelly/,2026-05-25T11:31:02+00:00
movie_600afaf95f85,War of the Worlds (2025),,https://letterboxd.com/film/war-of-the-worlds-2025/,2026-05-25T11:31:02+00:00
movie_5bd3aa3a6f80,The Perfect Neighbor (2025),,https://letterboxd.com/film/the-perfect-neighbour/,2026-05-25T11:31:02+00:00
movie_d43c0cf15d70,Flight Risk (2025),,https://letterboxd.com/film/flight-risk-2025/,2026-05-25T11:31:02+00:00
movie_bc30b21a3a05,Wolf Man (2025),,https://letterboxd.com/film/wolf-man-2025/,2026-05-25T11:31:02+00:00
movie_1722056d1e93,Here (2024),,https://letterboxd.com/film/here-2024/,2026-05-25T11:31:02+00:00
movie_b1045798c13f,Salem's Lot (2024),,https://letterboxd.com/film/salems-lot-2024/,2026-05-25T11:31:02+00:00
movie_7c9988bb5e2f,The Penguin (2024),,https://letterboxd.com/film/the-penguin-2024/,2026-05-25T11:31:02+00:00
movie_2bcf90ae895a,September 5 (2024),,https://letterboxd.com/film/september-5/,2026-05-25T11:31:02+00:00
movie_274459c26308,The Deliverance (2024),,https://letterboxd.com/film/the-deliverance-2024/,2026-05-25T11:31:02+00:00
movie_808ef6a3d10c,Speak,,,2026-05-25T11:31:15+00:00
movie_09b9f2f8a578,National Lampoon's Christmas Vacation,,,2026-05-25T11:31:19+00:00
movie_fe6ea9841532,They Will Kill You,,,2026-05-25T11:32:39+00:00
movie_07189d108a6c,Brazil (1985),,https://letterboxd.com/film/brazil/,2026-05-25T11:33:29+00:00
movie_fb0bfc3f1706,"You, Me & Tuscany (2026)",,https://letterboxd.com/film/you-me-tuscany/,2026-05-25T11:33:36+00:00
movie_6d51396e9eb2,Mike & Nick & Nick & Alice (2026),,https://letterboxd.com/film/mike-nick-nick-alice/,2026-05-25T11:33:36+00:00
movie_db44c8bef1d4,The Day the Earth Blew Up: A Looney Tunes Movie (2024),,https://letterboxd.com/film/the-day-the-earth-blew-up-a-looney-tunes-movie/,2026-05-25T11:33:36+00:00
movie_94e0bc8e2f25,The Beloved,,,2026-05-25T11:35:25+00:00
movie_41230bc1d801,The Beloved (2026),,https://letterboxd.com/film/the-beloved-2026/,2026-05-25T11:35:25+00:00
movie_4bf74f2bbcb0,Bitter Christmas (2026),,https://letterboxd.com/film/bitter-christmas/,2026-05-25T11:35:25+00:00
movie_985e194e52bf,Father Mother Sister Brother (2025),,https://letterboxd.com/film/father-mother-sister-brother/,2026-05-25T11:35:25+00:00
movie_39692b479f3d,Pacifiction (2022),,https://letterboxd.com/film/pacifiction/,2026-05-25T11:35:25+00:00
movie_d15a51b3aec3,Decision to Leave (2022),,https://letterboxd.com/film/decision-to-leave/,2026-05-25T11:35:25+00:00
movie_6430f43e96d1,Nightmare Alley (2021),,https://letterboxd.com/film/nightmare-alley-2021/,2026-05-25T11:35:25+00:00
movie_77d962c349ed,Free Solo (2018),,https://letterboxd.com/film/free-solo/,2026-05-25T11:35:25+00:00
movie_27e29efb411d,Roma (2018),,https://letterboxd.com/film/roma-2018/,2026-05-25T11:35:25+00:00
movie_6ad2aa12ef00,Nymphomaniac: Vol. I (2013),,https://letterboxd.com/film/nymphomaniac-volume-i/,2026-05-25T11:35:25+00:00
movie_9af8f67762a6,Captain America: Civil War,,,2026-05-25T11:36:55+00:00
movie_ba9693be6b91,Still Alice (2014),,https://letterboxd.com/film/still-alice/,2026-05-25T11:37:56+00:00
movie_8106792ba7b7,Mr. Nobody (2009),,https://letterboxd.com/film/mr-nobody/,2026-05-25T11:37:56+00:00
movie_8cfd8ccf74dc,Black Bird (2022),,https://letterboxd.com/film/black-bird/,2026-05-25T11:39:24+00:00
movie_db1a95ebdcbb,The Other Guys (2010),,https://letterboxd.com/film/the-other-guys/,2026-05-25T11:39:24+00:00
movie_2dd15c897240,Surf's Up (2007),,https://letterboxd.com/film/surfs-up/,2026-05-25T11:39:24+00:00
movie_ac92a2ca310c,Scent of a Woman (1992),,https://letterboxd.com/film/scent-of-a-woman/,2026-05-25T11:39:24+00:00
movie_ce7dd2a9d60d,Predator: Killer of Killers (2025),,https://letterboxd.com/film/predator-killer-of-killers/,2026-05-25T11:40:12+00:00
