letterboxd_movie_id,movieId,title,letterboxd_title,letterboxd_year,title_for_tmdb,letterboxd_movie_url,letterboxd_created_at
movie_4ad91f39a5a0,1,The Roses (2025),The Roses (2025),2025,The Roses,https://letterboxd.com/film/the-roses-2025/,2026-06-05T17:14:58+00:00
movie_02abd77512ca,2,Sonic the Hedgehog 3 (2024),Sonic the Hedgehog 3 (2024),2024,Sonic the Hedgehog 3,https://letterboxd.com/film/sonic-the-hedgehog-3/,2026-06-05T17:17:19+00:00
movie_bc30b21a3a05,3,Wolf Man (2025),Wolf Man (2025),2025,Wolf Man,https://letterboxd.com/film/wolf-man-2025/,2026-05-25T11:31:02+00:00
movie_d43c0cf15d70,4,Flight Risk (2025),Flight Risk (2025),2025,Flight Risk,https://letterboxd.com/film/flight-risk-2025/,2026-05-25T11:31:02+00:00
movie_5bd3aa3a6f80,5,The Perfect Neighbor (2025),The Perfect Neighbor (2025),2025,The Perfect Neighbor,https://letterboxd.com/film/the-perfect-neighbour/,2026-05-25T11:31:02+00:00
movie_b5ed9c1fb50f,6,Bugonia (2025),Bugonia (2025),2025,Bugonia,https://letterboxd.com/film/bugonia/,2026-06-05T16:59:38+00:00
movie_5d698159a979,7,The Devil Wears Prada 2 (2026),The Devil Wears Prada 2 (2026),2026,The Devil Wears Prada 2,https://letterboxd.com/film/the-devil-wears-prada-2/,2026-06-05T17:02:19+00:00
movie_9d32bd34b0d5,8,Train Dreams (2025),Train Dreams (2025),2025,Train Dreams,https://letterboxd.com/film/train-dreams/,2026-06-05T17:14:05+00:00
movie_34436252f567,9,Wicked: For Good (2025),Wicked: For Good (2025),2025,Wicked: For Good,https://letterboxd.com/film/wicked-for-good/,2026-06-05T17:01:08+00:00
movie_6f306ec3b4fd,10,Happy Gilmore 2 (2025),Happy Gilmore 2 (2025),2025,Happy Gilmore 2,https://letterboxd.com/film/happy-gilmore-2/,2026-06-05T17:01:08+00:00
movie_29d7c8110199,11,Another Simple Favor (2025),Another Simple Favor (2025),2025,Another Simple Favor,https://letterboxd.com/film/another-simple-favor/,2026-06-05T17:22:48+00:00
movie_9a16601b89de,12,Smile 2 (2024),Smile 2 (2024),2024,Smile 2,https://letterboxd.com/film/smile-2-2024/,2026-06-05T17:03:41+00:00
movie_33c4d3b21f1d,13,A Complete Unknown (2024),A Complete Unknown (2024),2024,A Complete Unknown,https://letterboxd.com/film/a-complete-unknown/,2026-06-05T17:01:08+00:00
movie_eca92ae852f8,14,Adolescence (2025),Adolescence (2025),2025,Adolescence,https://letterboxd.com/film/adolescence-2025/,2026-06-05T17:11:25+00:00
movie_8fbe56e42ae3,15,The Running Man (2025),The Running Man (2025),2025,The Running Man,https://letterboxd.com/film/the-running-man-2025/,2026-06-05T17:15:44+00:00
movie_1722056d1e93,16,Here (2024),Here (2024),2024,Here,https://letterboxd.com/film/here-2024/,2026-05-25T11:31:02+00:00
movie_8907cd2784a3,17,Is This Thing On? (2025),Is This Thing On? (2025),2025,Is This Thing On?,https://letterboxd.com/film/is-this-thing-on-2025/,2026-05-25T11:31:02+00:00
movie_81f7ba5c4398,18,Marty Supreme (2025),Marty Supreme (2025),2025,Marty Supreme,https://letterboxd.com/film/marty-supreme/,2026-06-05T16:59:38+00:00
movie_d61c7a4e8a27,19,Sinners (2025),Sinners (2025),2025,Sinners,https://letterboxd.com/film/sinners-2025/,2026-06-05T16:59:38+00:00
movie_7c9988bb5e2f,20,The Penguin (2024),The Penguin (2024),2024,The Penguin,https://letterboxd.com/film/the-penguin-2024/,2026-05-25T11:31:02+00:00
movie_3ee0ffb1efb0,21,The Fantastic 4: First Steps (2025),The Fantastic 4: First Steps (2025),2025,The Fantastic 4: First Steps,https://letterboxd.com/film/the-fantastic-4-first-steps/,2026-06-05T16:59:38+00:00
movie_2ce6853bbf1e,22,Speak No Evil (2024),Speak No Evil (2024),2024,Speak No Evil,https://letterboxd.com/film/speak-no-evil-2024/,2026-06-05T18:00:18+00:00
movie_d34a19ddf815,23,Saturday Night (2024),Saturday Night (2024),2024,Saturday Night,https://letterboxd.com/film/saturday-night-2024/,2026-06-05T17:01:09+00:00
movie_f7193721f53b,24,The Accountant² (2025),The Accountant² (2025),2025,The Accountant²,https://letterboxd.com/film/the-accountant-2025/,2026-06-05T18:19:01+00:00
movie_274459c26308,25,The Deliverance (2024),The Deliverance (2024),2024,The Deliverance,https://letterboxd.com/film/the-deliverance-2024/,2026-05-25T11:31:02+00:00
movie_2bcf90ae895a,26,September 5 (2024),September 5 (2024),2024,September 5,https://letterboxd.com/film/september-5/,2026-05-25T11:31:02+00:00
movie_c844a814c20f,27,One Battle After Another (2025),One Battle After Another (2025),2025,One Battle After Another,https://letterboxd.com/film/one-battle-after-another/,2026-06-05T16:59:38+00:00
movie_871fea660f35,28,The Devil Wears Prada 2,The Devil Wears Prada 2,,The Devil Wears Prada 2,,2026-06-05T17:02:19+00:00
movie_d7a47fbec631,29,Snow White (2025),Snow White (2025),2025,Snow White,https://letterboxd.com/film/snow-white-2025/,2026-06-05T17:52:58+00:00
movie_013fc9446ecf,30,Michael (2026),Michael (2026),2026,Michael,https://letterboxd.com/film/michael-2026/,2026-06-05T17:01:08+00:00
movie_ee3c31396b08,31,The Drama (2026),The Drama (2026),2026,The Drama,https://letterboxd.com/film/the-drama/,2026-06-05T17:01:08+00:00
movie_4c1367a10e37,32,Juror #2 (2024),Juror #2 (2024),2024,Juror #2,https://letterboxd.com/film/juror-2/,2026-06-05T17:08:51+00:00
movie_abe81071e651,33,Scream 7 (2026),Scream 7 (2026),2026,Scream 7,https://letterboxd.com/film/scream-7/,2026-06-05T17:14:58+00:00
movie_a66d3f7ee581,34,How to Make a Killing (2026),How to Make a Killing (2026),2026,How to Make a Killing,https://letterboxd.com/film/how-to-make-a-killing-2026/,2026-06-05T17:15:44+00:00
movie_e18af3485a4f,35,Wuthering Heights (2026),Wuthering Heights (2026),2026,Wuthering Heights,https://letterboxd.com/film/wuthering-heights-2026/,2026-06-05T17:01:08+00:00
movie_6528dbc76ec3,36,Nosferatu (2024),Nosferatu (2024),2024,Nosferatu,https://letterboxd.com/film/nosferatu-2024/,2026-06-05T16:59:38+00:00
movie_974d12c07a61,37,The Rip (2026),The Rip (2026),2026,The Rip,https://letterboxd.com/film/the-rip-2026/,2026-06-05T17:01:08+00:00
movie_40341d7cfc53,38,Beetlejuice Beetlejuice (2024),Beetlejuice Beetlejuice (2024),2024,Beetlejuice Beetlejuice,https://letterboxd.com/film/beetlejuice-beetlejuice/,2026-06-05T17:17:19+00:00
movie_1f7ee0e2294b,39,Hot Frosty (2024),Hot Frosty (2024),2024,Hot Frosty,https://letterboxd.com/film/hot-frosty/,2026-06-05T17:22:48+00:00
movie_23a2cb71790b,40,Stranger Things 5: The Finale (2025),Stranger Things 5: The Finale (2025),2025,Stranger Things 5: The Finale,https://letterboxd.com/film/stranger-things-5-the-finale/,2026-06-05T17:01:08+00:00
movie_378b57d0114c,41,Anaconda (2025),Anaconda (2025),2025,Anaconda,https://letterboxd.com/film/anaconda-2025/,2026-06-05T17:03:41+00:00
movie_3ff0917b59a7,42,Five Nights at Freddy's 2 (2025),Five Nights at Freddy's 2 (2025),2025,Five Nights at Freddy's 2,https://letterboxd.com/film/five-nights-at-freddys-2/,2026-06-05T17:01:08+00:00
movie_f80612874d62,43,The Housemaid (2025),The Housemaid (2025),2025,The Housemaid,https://letterboxd.com/film/the-housemaid-2025/,2026-06-05T17:19:00+00:00
movie_81c156403dd2,44,A Minecraft Movie (2025),A Minecraft Movie (2025),2025,A Minecraft Movie,https://letterboxd.com/film/a-minecraft-movie/,2026-06-05T17:01:08+00:00
movie_c5cbcc8d458e,45,Jay Kelly (2025),Jay Kelly (2025),2025,Jay Kelly,https://letterboxd.com/film/jay-kelly/,2026-05-25T11:31:02+00:00
movie_07786377e0d7,46,Wicked (2024),Wicked (2024),2024,Wicked,https://letterboxd.com/film/wicked-2024/,2026-06-05T16:59:38+00:00
movie_ed4626a25068,47,Eddington (2025),Eddington (2025),2025,Eddington,https://letterboxd.com/film/eddington/,2026-06-05T17:01:08+00:00
movie_52e0f7adf60b,48,Our Little Secret (2024),Our Little Secret (2024),2024,Our Little Secret,https://letterboxd.com/film/our-little-secret/,2026-06-05T17:22:48+00:00
movie_1c7d080e0039,49,Carry-On (2024),Carry-On (2024),2024,Carry-On,https://letterboxd.com/film/carry-on-2024/,2026-06-05T17:01:08+00:00
movie_a4c7f895ebe6,50,Moana 2 (2024),Moana 2 (2024),2024,Moana 2,https://letterboxd.com/film/moana-2/,2026-06-05T17:01:09+00:00
movie_e22fd77c2aab,51,Superman (2025),Superman (2025),2025,Superman,https://letterboxd.com/film/superman-2025/,2026-06-05T16:59:38+00:00
movie_b823d997146f,52,Blue Moon (2025),Blue Moon (2025),2025,Blue Moon,https://letterboxd.com/film/blue-moon-2025/,2026-06-05T17:08:51+00:00
movie_1ef532512934,53,Die My Love (2025),Die My Love (2025),2025,Die My Love,https://letterboxd.com/film/die-my-love/,2026-06-05T17:14:58+00:00
movie_78f4ddce6e3e,54,The Conjuring: Last Rites (2025),The Conjuring: Last Rites (2025),2025,The Conjuring: Last Rites,https://letterboxd.com/film/the-conjuring-last-rites/,2026-06-05T17:01:08+00:00
movie_20df769f6663,55,Springsteen: Deliver Me from Nowhere (2025),Springsteen: Deliver Me from Nowhere (2025),2025,Springsteen: Deliver Me from Nowhere,https://letterboxd.com/film/springsteen-deliver-me-from-nowhere/,2026-05-25T11:31:02+00:00
movie_b99571974530,56,Hamnet (2025),Hamnet (2025),2025,Hamnet,https://letterboxd.com/film/hamnet/,2026-06-05T16:59:38+00:00
movie_600afaf95f85,57,War of the Worlds (2025),War of the Worlds (2025),2025,War of the Worlds,https://letterboxd.com/film/war-of-the-worlds-2025/,2026-05-25T11:31:02+00:00
movie_f0de40f18a9a,58,Dead Man's Wire (2025),Dead Man's Wire (2025),2025,Dead Man's Wire,https://letterboxd.com/film/dead-mans-wire/,2026-05-25T11:31:02+00:00
movie_0283ee59a98b,59,Freakier Friday (2025),Freakier Friday (2025),2025,Freakier Friday,https://letterboxd.com/film/freakier-friday/,2026-06-05T18:25:43+00:00
movie_c606730c2a10,60,Joker: Folie à Deux (2024),Joker: Folie à Deux (2024),2024,Joker: Folie à Deux,https://letterboxd.com/film/joker-folie-a-deux/,2026-06-05T17:01:09+00:00
movie_dc8c05f5e47e,61,Wake Up Dead Man (2025),Wake Up Dead Man (2025),2025,Wake Up Dead Man,https://letterboxd.com/film/wake-up-dead-man/,2026-06-05T16:59:38+00:00
movie_631846150059,62,After the Hunt (2025),After the Hunt (2025),2025,After the Hunt,https://letterboxd.com/film/after-the-hunt-2025/,2026-06-05T17:57:01+00:00
movie_ef5e696ae77f,63,Frankenstein (2025),Frankenstein (2025),2025,Frankenstein,https://letterboxd.com/film/frankenstein-2025/,2026-06-05T16:59:38+00:00
movie_b1045798c13f,64,Salem's Lot (2024),Salem's Lot (2024),2024,Salem's Lot,https://letterboxd.com/film/salems-lot-2024/,2026-05-25T11:31:02+00:00
movie_5f576f18fba5,65,The Smashing Machine (2025),The Smashing Machine (2025),2025,The Smashing Machine,https://letterboxd.com/film/the-smashing-machine-2025/,2026-05-25T11:31:02+00:00
movie_f919c61663a7,66,Roofman (2025),Roofman (2025),2025,Roofman,https://letterboxd.com/film/roofman/,2026-06-05T17:15:44+00:00
movie_7fdac2d5d755,67,28 Years Later (2025),28 Years Later (2025),2025,28 Years Later,https://letterboxd.com/film/28-years-later/,2026-06-05T17:15:44+00:00
movie_414fdc6a1f3f,68,Materialists (2025),Materialists (2025),2025,Materialists,https://letterboxd.com/film/materialists/,2026-06-05T17:06:19+00:00
