movieId,title,genres
1,The Devil Wears Prada 2,(no genres listed)
2,The Devil Wears Prada 2 (2026),(no genres listed)
3,Michael (2026),(no genres listed)
4,The Drama (2026),(no genres listed)
5,Scream 7 (2026),(no genres listed)
6,How to Make a Killing (2026),(no genres listed)
7,Wuthering Heights (2026),(no genres listed)
8,The Rip (2026),(no genres listed)
9,Stranger Things 5: The Finale (2025),(no genres listed)
10,Anaconda (2025),(no genres listed)
11,Five Nights at Freddy's 2 (2025),(no genres listed)
12,The Housemaid (2025),(no genres listed)
13,Wicked: For Good (2025),(no genres listed)
14,The Running Man (2025),(no genres listed)
15,Is This Thing On? (2025),(no genres listed)
16,Marty Supreme (2025),(no genres listed)
17,One Battle After Another (2025),(no genres listed)
18,Roofman (2025),(no genres listed)
19,Wake Up Dead Man (2025),(no genres listed)
20,Dead Man's Wire (2025),(no genres listed)
21,The Conjuring: Last Rites (2025),(no genres listed)
22,The Smashing Machine (2025),(no genres listed)
23,Frankenstein (2025),(no genres listed)
24,Springsteen: Deliver Me from Nowhere (2025),(no genres listed)
25,After the Hunt (2025),(no genres listed)
26,Hamnet (2025),(no genres listed)
27,Jay Kelly (2025),(no genres listed)
28,Bugonia (2025),(no genres listed)
29,The Roses (2025),(no genres listed)
30,Caught Stealing (2025),(no genres listed)
31,Freakier Friday (2025),(no genres listed)
32,Weapons (2025),(no genres listed)
33,War of the Worlds (2025),(no genres listed)
34,Happy Gilmore 2 (2025),(no genres listed)
35,The Fantastic 4: First Steps (2025),(no genres listed)
36,Superman (2025),(no genres listed)
37,28 Years Later (2025),(no genres listed)
38,Jurassic World Rebirth (2025),(no genres listed)
39,Materialists (2025),(no genres listed)
40,Die My Love (2025),(no genres listed)
41,Eddington (2025),(no genres listed)
42,Sinners (2025),(no genres listed)
43,A Minecraft Movie (2025),(no genres listed)
44,Snow White (2025),(no genres listed)
45,Adolescence (2025),(no genres listed)
46,The Accountant² (2025),(no genres listed)
47,Another Simple Favor (2025),(no genres listed)
48,Blue Moon (2025),(no genres listed)
49,Train Dreams (2025),(no genres listed)
50,The Perfect Neighbor (2025),(no genres listed)
51,Flight Risk (2025),(no genres listed)
52,Wolf Man (2025),(no genres listed)
53,Sonic the Hedgehog 3 (2024),(no genres listed)
54,A Complete Unknown (2024),(no genres listed)
55,Carry-On (2024),(no genres listed)
56,Our Little Secret (2024),(no genres listed)
57,Moana 2 (2024),(no genres listed)
58,Hot Frosty (2024),(no genres listed)
59,Nosferatu (2024),(no genres listed)
60,Juror #2 (2024),(no genres listed)
61,Here (2024),(no genres listed)
62,Wicked (2024),(no genres listed)
63,Smile 2 (2024),(no genres listed)
64,Salem's Lot (2024),(no genres listed)
65,The Penguin (2024),(no genres listed)
66,Heretic (2024),(no genres listed)
67,The Last Showgirl (2024),(no genres listed)
68,Speak No Evil (2024),(no genres listed)
69,Joker: Folie à Deux (2024),(no genres listed)
70,Saturday Night (2024),(no genres listed)
71,September 5 (2024),(no genres listed)
72,Beetlejuice Beetlejuice (2024),(no genres listed)
73,The Deliverance (2024),(no genres listed)
74,Michael,(no genres listed)
75,Obsession (2025),(no genres listed)
76,Mickey 17 (2025),(no genres listed)
77,Deadpool & Wolverine (2024),(no genres listed)
78,Inside Out 2 (2024),(no genres listed)
79,Anora (2024),(no genres listed)
80,The Substance (2024),(no genres listed)
81,Challengers (2024),(no genres listed)
82,Dune: Part Two (2024),(no genres listed)
83,Poor Things (2023),(no genres listed)
84,Saltburn (2023),(no genres listed)
85,Oppenheimer (2023),(no genres listed)
86,Barbie (2023),(no genres listed)
87,Past Lives (2023),(no genres listed)
88,Avatar: The Way of Water (2022),(no genres listed)
89,Glass Onion (2022),(no genres listed)
90,The Menu (2022),(no genres listed)
91,Pearl (2022),(no genres listed)
92,Aftersun (2022),(no genres listed)
93,Everything Everywhere All at Once (2022),(no genres listed)
94,The Batman (2022),(no genres listed)
95,Spider-Man: No Way Home (2021),(no genres listed)
96,Dune (2021),(no genres listed)
97,Soul (2020),(no genres listed)
98,Little Women (2019),(no genres listed)
99,Jojo Rabbit (2019),(no genres listed)
100,Knives Out (2019),(no genres listed)
101,Joker (2019),(no genres listed)
102,Midsommar (2019),(no genres listed)
103,Once Upon a Time... in Hollywood (2019),(no genres listed)
104,Parasite (2019),(no genres listed)
105,Avengers: Endgame (2019),(no genres listed)
106,Spider-Man: Into the Spider-Verse (2018),(no genres listed)
107,Avengers: Infinity War (2018),(no genres listed)
108,Black Panther (2018),(no genres listed)
109,Hereditary (2018),(no genres listed)
110,Coco (2017),(no genres listed)
111,Blade Runner 2049 (2017),(no genres listed)
112,It (2017),(no genres listed)
113,Lady Bird (2017),(no genres listed)
114,Baby Driver (2017),(no genres listed)
115,Get Out (2017),(no genres listed)
116,Call Me by Your Name (2017),(no genres listed)
117,Arrival (2016),(no genres listed)
118,La La Land (2016),(no genres listed)
119,Inside Out (2015),(no genres listed)
120,Interstellar (2014),(no genres listed)
121,Gone Girl (2014),(no genres listed)
122,Guardians of the Galaxy (2014),(no genres listed)
123,The Grand Budapest Hotel (2014),(no genres listed)
124,Whiplash (2014),(no genres listed)
125,The Wolf of Wall Street (2013),(no genres listed)
126,Her (2013),(no genres listed)
127,Prisoners (2013),(no genres listed)
128,Django Unchained (2012),(no genres listed)
129,The Perks of Being a Wallflower (2012),(no genres listed)
130,The Hunger Games (2012),(no genres listed)
131,The Social Network (2010),(no genres listed)
132,Black Swan (2010),(no genres listed)
133,They Will Kill You,(no genres listed)
134,They Will Kill You (2026),(no genres listed)
135,Star Wars: The Mandalorian and Grogu (2026),(no genres listed)
136,Star Wars: The Mandalorian and Grogu,(no genres listed)
137,Zootopia 2 (2025),(no genres listed)
138,The Naked Gun (2025),(no genres listed)
139,KPop Demon Hunters (2025),(no genres listed)
140,Thunderbolts* (2025),(no genres listed)
141,Captain America: Brave New World (2025),(no genres listed)
142,Alien: Romulus (2024),(no genres listed)
143,Longlegs (2024),(no genres listed)
144,MaXXXine (2024),(no genres listed)
145,Furiosa: A Mad Max Saga (2024),(no genres listed)
146,Immaculate (2024),(no genres listed)
147,The Fall Guy (2024),(no genres listed)
148,Monkey Man (2024),(no genres listed)
149,Love Lies Bleeding (2024),(no genres listed)
150,I Saw the TV Glow (2024),(no genres listed)
151,The Iron Claw (2023),(no genres listed)
152,Godzilla Minus One (2023),(no genres listed)
153,Five Nights at Freddy's (2023),(no genres listed)
154,No Hard Feelings (2023),(no genres listed)
155,Spider-Man: Across the Spider-Verse (2023),(no genres listed)
156,Killers of the Flower Moon (2023),(no genres listed)
157,Guardians of the Galaxy Vol. 3 (2023),(no genres listed)
158,The Super Mario Bros. Movie (2023),(no genres listed)
159,Evil Dead Rise (2023),(no genres listed)
160,Bottoms (2023),(no genres listed)
161,Dungeons & Dragons: Honor Among Thieves (2023),(no genres listed)
162,Late Night with the Devil (2023),(no genres listed)
163,Scream VI (2023),(no genres listed)
164,Ant-Man and the Wasp: Quantumania (2023),(no genres listed)
165,M3GAN (2022),(no genres listed)
166,Puss in Boots: The Last Wish (2022),(no genres listed)
167,Talk to Me (2022),(no genres listed)
168,Black Panther: Wakanda Forever (2022),(no genres listed)
169,Guillermo del Toro's Pinocchio (2022),(no genres listed)
170,Smile (2022),(no genres listed)
171,The Whale (2022),(no genres listed)
172,Barbarian (2022),(no genres listed)
173,Bullet Train (2022),(no genres listed)
174,Nope (2022),(no genres listed)
175,Thor: Love and Thunder (2022),(no genres listed)
176,Elvis (2022),(no genres listed)
177,Doctor Strange in the Multiverse of Madness (2022),(no genres listed)
178,The Northman (2022),(no genres listed)
179,X (2022),(no genres listed)
180,Turning Red (2022),(no genres listed)
181,Scream (2022),(no genres listed)
182,Blade Runner (1982),(no genres listed)
183,A Clockwork Orange (1971),(no genres listed)
184,Remarkably Bright Creatures,(no genres listed)
185,Remarkably Bright Creatures (2026),(no genres listed)
186,The Sheep Detectives (2026),(no genres listed)
187,"You, Me & Tuscany (2026)",(no genres listed)
188,Mike & Nick & Nick & Alice (2026),(no genres listed)
189,Project Hail Mary (2026),(no genres listed)
190,People We Meet on Vacation (2026),(no genres listed)
191,Avatar: Fire and Ash (2025),(no genres listed)
192,"Good Luck, Have Fun, Don't Die (2025)",(no genres listed)
193,The Long Walk (2025),(no genres listed)
194,F1 (2025),(no genres listed)
195,The Phoenician Scheme (2025),(no genres listed)
196,Mission: Impossible – The Final Reckoning (2025),(no genres listed)
197,The Wild Robot (2024),(no genres listed)
198,The Day the Earth Blew Up: A Looney Tunes Movie (2024),(no genres listed)
199,Flow (2024),(no genres listed)
200,Civil War (2024),(no genres listed)
201,Anyone But You (2023),(no genres listed)
202,Wonka (2023),(no genres listed)
203,The Wonderful Story of Henry Sugar (2023),(no genres listed)
204,Mission: Impossible – Dead Reckoning (2023),(no genres listed)
205,Elemental (2023),(no genres listed)
206,Asteroid City (2023),(no genres listed)
207,Indiana Jones and the Dial of Destiny (2023),(no genres listed)
208,John Wick: Chapter 4 (2023),(no genres listed)
209,Babylon (2022),(no genres listed)
210,Suzume (2022),(no genres listed)
211,Top Gun: Maverick (2022),(no genres listed)
212,The Adam Project (2022),(no genres listed)
213,The Matrix Resurrections (2021),(no genres listed)
214,Don't Look Up (2021),(no genres listed)
215,Eternals (2021),(no genres listed)
216,Free Guy (2021),(no genres listed)
217,Project Hail Mary,(no genres listed)
218,No Country for Old Men (2007),(no genres listed)
219,Conclave (2024),(no genres listed)
220,Inception (2010),(no genres listed)
221,Shutter Island (2010),(no genres listed)
222,Avatar (2009),(no genres listed)
223,Inglourious Basterds (2009),(no genres listed)
224,Up (2009),(no genres listed)
225,Coraline (2009),(no genres listed)
226,(500) Days of Summer (2009),(no genres listed)
227,The Dark Knight (2008),(no genres listed)
228,Ratatouille (2007),(no genres listed)
229,The Devil Wears Prada (2006),(no genres listed)
230,Pride & Prejudice (2005),(no genres listed)
231,Harry Potter and the Prisoner of Azkaban (2004),(no genres listed)
232,The Notebook (2004),(no genres listed)
233,Mean Girls (2004),(no genres listed)
234,Eternal Sunshine of the Spotless Mind (2004),(no genres listed)
