movie_idx,movieId,title,overview,poster_url
0,1,Toy Story,,
1,2,Jumanji,,
2,3,Grumpier Old Men,,
3,4,Waiting to Exhale,,
4,5,Father of the Bride Part II,,
5,6,Heat,,
6,7,Sabrina,,
7,8,Tom and Huck,,
8,9,Sudden Death,,
9,10,GoldenEye,,
10,11,"American President, The",,
11,12,Dracula: Dead and Loving It,,
12,13,Balto,,
13,14,Nixon,,
14,15,Cutthroat Island,,
15,16,Casino,,
16,17,Sense and Sensibility,,
17,18,Four Rooms,,
18,19,Ace Ventura: When Nature Calls,,
19,20,Money Train,,
20,21,Get Shorty,,
21,22,Copycat,,
22,23,Assassins,,
23,24,Powder,,
24,25,Leaving Las Vegas,,
25,26,Othello,,
26,27,Now and Then,,
27,28,Persuasion,,
28,29,"City of Lost Children, The",,
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao),,
30,31,Dangerous Minds,,
31,32,Twelve Monkeys,,
32,33,Wings of Courage,,
33,34,Babe,,
34,35,Carrington,,
35,36,Dead Man Walking,,
36,37,Across the Sea of Time,,
37,38,It Takes Two,,
38,39,Clueless,,
39,40,"Cry, the Beloved Country",,
40,41,Richard III,,
41,42,Dead Presidents,,
42,43,Restoration,,
43,44,Mortal Kombat,,
44,45,To Die For,,
45,46,How to Make an American Quilt,,
46,47,Seven (Se7en),,
47,48,Pocahontas,,
48,49,When Night Is Falling,,
49,50,"Usual Suspects, The",,
50,51,Guardian Angel,,
51,52,Mighty Aphrodite,,
52,53,Lamerica,,
53,54,"Big Green, The",,
54,55,Georgia,,
55,56,Kids of the Round Table,,
56,57,Home for the Holidays,,
57,58,"Postino, Il (The Postman)",,
58,59,"Confessional, The (Le Confessionnal)",,
59,60,"Indian in the Cupboard, The",,
60,61,Eye for an Eye,,
61,62,Mr. Holland's Opus,,
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,
63,64,Two if by Sea,,
64,65,Bio-Dome,,
65,66,Lawnmower Man 2: Beyond Cyberspace,,
66,67,Two Bits,,
67,68,French Twist (Gazon maudit),,
68,69,Friday,,
69,70,From Dusk Till Dawn,,
70,71,Fair Game,,
71,72,Kicking and Screaming,,
72,73,"Misérables, Les",,
