movieId,overview,tagline,director,cast,poster_url,budget,revenue
1,"A group of toys discover loyalty, jealousy, and friendship after a new space ranger joins the room.","The adventure takes off",John Lasseter,"Tom Hanks|Tim Allen|Annie Potts",https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,30000000,394436586
2,"Children unlock a magical board game that brings jungle hazards into the real world.","Roll the dice and unleash the excitement",Joe Johnston,"Robin Williams|Kirsten Dunst|Bonnie Hunt",https://image.tmdb.org/t/p/w500/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,65000000,262797249
3,"A professional thief and a relentless detective move toward a high-stakes confrontation in Los Angeles.","A Los Angeles crime saga",Michael Mann,"Al Pacino|Robert De Niro|Val Kilmer",https://image.tmdb.org/t/p/w500/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,60000000,187436818
4,"A chauffeur's daughter returns from Paris and disrupts a wealthy family's romantic plans.","You are cordially invited to the most surprising merger of the year",Sydney Pollack,"Harrison Ford|Julia Ormond|Greg Kinnear",https://image.tmdb.org/t/p/w500/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,58000000,53672080
5,"James Bond races to stop a stolen satellite weapon from causing global chaos.","No limits. No fears. No substitutes.",Martin Campbell,"Pierce Brosnan|Sean Bean|Izabella Scorupco",https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,58000000,352194034
6,"A widowed US president falls for a lobbyist while fighting for an environmental bill.","Why can't the most powerful man in the world have the one thing he wants most?",Rob Reiner,"Michael Douglas|Annette Bening|Martin Sheen",https://image.tmdb.org/t/p/w500/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,62000000,107879496
7,"Two detectives hunt a serial killer whose crimes follow the seven deadly sins.","Seven deadly sins. Seven ways to die.",David Fincher,"Brad Pitt|Morgan Freeman|Gwyneth Paltrow",https://image.tmdb.org/t/p/w500/6yoghtyTpznpBik8EngEmJskVUO.jpg,33000000,327311859
8,"A survivor of a dockside massacre tells a twisted story about criminals and a legendary mastermind.","Five criminals. One line up. No coincidence.",Bryan Singer,"Kevin Spacey|Gabriel Byrne|Chazz Palminteri",https://image.tmdb.org/t/p/w500/rWbsxdwF9qQzpTPCLmDfVnVqTK1.jpg,6000000,23341568
9,"A Scottish warrior leads a rebellion against English rule after personal tragedy.","Every man dies. Not every man really lives.",Mel Gibson,"Mel Gibson|Sophie Marceau|Patrick McGoohan",https://image.tmdb.org/t/p/w500/or1gBugydmjToAEq7OZY0owwFk.jpg,72000000,213216216
10,"A stylish Beverly Hills teenager tries to improve other people's lives while learning about her own.","Sex. Clothes. Popularity. Is there a problem here?",Amy Heckerling,"Alicia Silverstone|Stacey Dash|Brittany Murphy",https://image.tmdb.org/t/p/w500/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,12000000,56631572
11,"NASA engineers improvise a rescue after an oxygen tank explosion cripples a moon mission.","Houston, we have a problem.",Ron Howard,"Tom Hanks|Bill Paxton|Kevin Bacon",https://image.tmdb.org/t/p/w500/oYUZHYMwNKnE1ef4WE5Hw2a9OAY.jpg,52000000,355237933
12,"A polite pig learns to herd sheep and changes the rules of the farm.","A little pig goes a long way",Chris Noonan,"James Cromwell|Magda Szubanski|Christine Cavanaugh",https://image.tmdb.org/t/p/w500/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,30000000,254134910
