dataset,model,status,precision@10,recall@10,ndcg@10,mrr,seconds,error,metadata_json
movielens,random,ok,0.0013157894736842105,0.0018217945265209807,0.0030221533108549213,0.008388157894736842,0.0347,,"{""data_dir"": ""/home/phucht/movierec3/data/raw/ml-latest-small"", ""enriched_catalog"": ""/home/phucht/movierec3/data/processed/movie_catalog_enriched.parquet"", ""split_strategy"": ""timestamp_per_user"", ""min_rating"": 4.0, ""content_backend"": ""tfidf"", ""seed"": 42}"
movielens,popularity_only,ok,0.019407894736842107,0.03972336937639256,0.0365087317560766,0.06767374164578112,0.0239,,"{""data_dir"": ""/home/phucht/movierec3/data/raw/ml-latest-small"", ""enriched_catalog"": ""/home/phucht/movierec3/data/processed/movie_catalog_enriched.parquet"", ""split_strategy"": ""timestamp_per_user"", ""min_rating"": 4.0, ""content_backend"": ""tfidf"", ""nonzero_items"": 5300}"
movielens,item_knn_cosine,ok,0.0274671052631579,0.055353414859283905,0.04379170468236444,0.07357847744360901,0.1998,,"{""data_dir"": ""/home/phucht/movierec3/data/raw/ml-latest-small"", ""enriched_catalog"": ""/home/phucht/movierec3/data/processed/movie_catalog_enriched.parquet"", ""split_strategy"": ""timestamp_per_user"", ""min_rating"": 4.0, ""content_backend"": ""tfidf"", ""top_k"": 100, ""similarity_nnz"": 504224}"
movielens,user_knn_cosine,ok,0.02549342105263158,0.05537307944327814,0.04352505434879188,0.07363264933166248,0.0809,,"{""data_dir"": ""/home/phucht/movierec3/data/raw/ml-latest-small"", ""enriched_catalog"": ""/home/phucht/movierec3/data/processed/movie_catalog_enriched.parquet"", ""split_strategy"": ""timestamp_per_user"", ""min_rating"": 4.0, ""content_backend"": ""tfidf"", ""top_k"": 100, ""similarity_nnz"": 60156}"
movielens,svd_ranking,ok,0.024999999999999998,0.06040341281937424,0.04544933509793764,0.07268627297410192,0.1688,,"{""data_dir"": ""/home/phucht/movierec3/data/raw/ml-latest-small"", ""enriched_catalog"": ""/home/phucht/movierec3/data/processed/movie_catalog_enriched.parquet"", ""split_strategy"": ""timestamp_per_user"", ""min_rating"": 4.0, ""content_backend"": ""tfidf"", ""n_components"": 64, ""explained_variance"": 0.551169216632843}"
movielens,ease,ok,0.02993421052631579,0.06117230804752896,0.05063089913235055,0.08979610484544694,11.5356,,"{""data_dir"": ""/home/phucht/movierec3/data/raw/ml-latest-small"", ""enriched_catalog"": ""/home/phucht/movierec3/data/processed/movie_catalog_enriched.parquet"", ""split_strategy"": ""timestamp_per_user"", ""min_rating"": 4.0, ""content_backend"": ""tfidf"", ""l2"": 250.0}"
movielens,tfidf_only,ok,0.00625,0.017071659982776786,0.011299801847710365,0.018449770258980785,0.1346,,"{""data_dir"": ""/home/phucht/movierec3/data/raw/ml-latest-small"", ""enriched_catalog"": ""/home/phucht/movierec3/data/processed/movie_catalog_enriched.parquet"", ""split_strategy"": ""timestamp_per_user"", ""min_rating"": 4.0, ""content_backend"": ""tfidf"", ""embedding_attr"": ""content_embeddings""}"
movielens,bpr_mf,ok,0.0013157894736842105,0.003265735146813522,0.0024796776279086283,0.0041346856725146194,19.4063,,"{""data_dir"": ""/home/phucht/movierec3/data/raw/ml-latest-small"", ""enriched_catalog"": ""/home/phucht/movierec3/data/processed/movie_catalog_enriched.parquet"", ""split_strategy"": ""timestamp_per_user"", ""min_rating"": 4.0, ""content_backend"": ""tfidf"", ""embedding_dim"": 64, ""epochs"": 10, ""losses"": [0.6928564429283142, 0.6874539852142334, 0.6822249472141266, 0.6756556749343872, 0.6702993512153625, 0.664014744758606, 0.6586974382400512, 0.65162433385849, 0.6445367276668549, 0.636129367351532]}"
movielens,lightgcn_only,ok,0.01842105263157895,0.03901728384542313,0.035937367225426564,0.06672867063492065,17.4087,,"{""data_dir"": ""/home/phucht/movierec3/data/raw/ml-latest-small"", ""enriched_catalog"": ""/home/phucht/movierec3/data/processed/movie_catalog_enriched.parquet"", ""split_strategy"": ""timestamp_per_user"", ""min_rating"": 4.0, ""content_backend"": ""tfidf"", ""embedding_dim"": 64, ""layers"": 3, ""epochs"": 10, ""losses"": [0.6903131008148193, 0.6882294654846192, 0.6838962018489838, 0.6753050804138183, 0.6609246373176575, 0.6387840449810028, 0.6092021346092225, 0.5730649173259735, 0.5319079458713531, 0.4932007879018784]}"
movielens,learned_two_tower,ok,0.011677631578947368,0.026461827208630655,0.020438538582601244,0.035562865497076025,14.4334,,"{""data_dir"": ""/home/phucht/movierec3/data/raw/ml-latest-small"", ""enriched_catalog"": ""/home/phucht/movierec3/data/processed/movie_catalog_enriched.parquet"", ""split_strategy"": ""timestamp_per_user"", ""min_rating"": 4.0, ""content_backend"": ""tfidf"", ""embedding_dim"": 64, ""hidden_dim"": 128, ""epochs"": 10, ""embedding_attr"": ""content_embeddings"", ""losses"": [0.6911930441856384, 0.6828509390354156, 0.6579332470893859, 0.6316813051700592, 0.6026401042938232, 0.5738311350345612, 0.5479544401168823, 0.5222514927387237, 0.5001993745565414, 0.47769618034362793]}"
